file,column,dtype,non_null,nulls,distinct,min,max,example,unit,role,description,source,transform
btc_monthly_close_2020_2025.csv,BTC_USD,float64,70,0,70,6423.61,116009.4,9342.23,USD,feature(level),"Monthly Bitcoin price (USD), end-of-month close",Processed (pipeline steps 02–07),Hourly→EOM monthly close
btc_monthly_close_2020_2025.csv,Date,datetime64[ns],70,0,70,2020-01-31 00:00:00,2025-10-31 00:00:00,2020-01-31 00:00:00,YYYY-MM (EOM),key(time),End-of-month timestamp (EOM),Processed (pipeline steps 02–07),Hourly→EOM monthly close
gold_monthly_clean_2020_2025.csv,Gold_USD,float64,67,0,67,1560.67,3352.66,1560.67,USD,feature(level),"Monthly gold price (USD), end-of-month close",Processed (pipeline steps 02–07),Monthly EOM; cleaned & filtered 2020–2025
gold_monthly_clean_2020_2025.csv,Date,datetime64[ns],67,0,67,2020-01-31 00:00:00,2025-07-31 00:00:00,2020-01-31 00:00:00,YYYY-MM (EOM),key(time),End-of-month timestamp (EOM),Processed (pipeline steps 02–07),Monthly EOM; cleaned & filtered 2020–2025
merged_gold_btc_monthly_2020_2025.csv,BTC_USD,float64,67,0,67,6423.61,116009.4,9342.23,USD,feature(level),Merged BTC_USD at EOM,Processed (pipeline steps 02–07),Hourly→EOM monthly close
merged_gold_btc_monthly_2020_2025.csv,Gold_USD,float64,67,0,67,1560.67,3352.66,1560.67,USD,feature(level),Merged Gold_USD at EOM,Processed (pipeline steps 02–07),Hourly→EOM monthly close
merged_gold_btc_monthly_2020_2025.csv,Date,datetime64[ns],67,0,67,2020-01-31 00:00:00,2025-07-31 00:00:00,2020-01-31 00:00:00,YYYY-MM (EOM),key(time),End-of-month timestamp (EOM),Processed (pipeline steps 02–07),Hourly→EOM monthly close
monthly_returns_gold_btc_2020_2025.csv,BTC_USD,float64,66,0,66,6423.61,116009.4,8545.45,USD,feature(level),,Processed (pipeline steps 02–07),Hourly→EOM monthly close
monthly_returns_gold_btc_2020_2025.csv,Gold_USD,float64,66,0,66,1591.93,3352.66,1597.1,USD,feature(level),,Processed (pipeline steps 02–07),Hourly→EOM monthly close
monthly_returns_gold_btc_2020_2025.csv,BTC_ret,float64,66,0,66,-0.467758852159692,0.3863917365977301,-0.0891460042159675,log return (unitless),feature(return),Month-over-month log return of Btc,Processed (pipeline steps 02–07),Hourly→EOM monthly close
monthly_returns_gold_btc_2020_2025.csv,Gold_ret,float64,66,0,66,-0.0581957309063634,0.0773038908693761,0.0230742684424134,log return (unitless),feature(return),Month-over-month log return of Gold,Processed (pipeline steps 02–07),Hourly→EOM monthly close
monthly_returns_gold_btc_2020_2025.csv,Date,datetime64[ns],66,0,66,2020-02-29 00:00:00,2025-07-31 00:00:00,2020-02-29 00:00:00,YYYY-MM (EOM),key(time),End-of-month timestamp (EOM),Processed (pipeline steps 02–07),Hourly→EOM monthly close
